code,code_type,label,family,sector,synonyms
7318.6400,NCO,Handicrafts & Carpets Net Maker - Hand,Handicraft Workers in Textiles ; Leather and related materials (Carpet Workers etc),Unclassified,(carpet|hand|handicraft|handicrafts & carpets net maker|leather|materials|textiles
7318.6600,NCO,Handicrafts & Carpets Knitter - Hand,Handicraft Workers in Textiles ; Leather and related materials (Carpet Workers etc),Unclassified,(carpet|hand|handicraft|handicrafts & carpets knitter|leather|materials|textiles
7318.6700,NCO,Handicrafts & Carpets Braid Maker - Hand,Handicraft Workers in Textiles ; Leather and related materials (Carpet Workers etc),Unclassified,(carpet|hand|handicraft|handicrafts & carpets braid maker|leather|materials|textiles
7522.1400,NCO,Toy Maker,Cabinet Makers and Related Workers Handicrafts & Carpets,Unclassified,cabinet|carpets|handicrafts
7522.1600,NCO,Picture Frame Maker,Cabinet Makers and Related Workers Handicrafts & Carpets,Unclassified,cabinet|carpets|handicrafts
8152.9900,NCO,Handicrafts & Carpets Weaving and Knitting Machine,Weaving and Knitting Machine Operators (Machine Carpet Weavers etc),Unclassified,(machine|carpet|knitting|machine|weavers|weaving
2240.0400,NCO,Dresser,Paramedical Practitioners,Healthcare,paramedical|practitioners
2265.9900,NCO,Dieticians and Nutritionists; Other,Dietician/Diet Assistants,Healthcare,assistants|dietician/diet
3212.0601,NCO,Phlebotomy Technician,Phlebotomy Technicians,Healthcare,phlebotomy|technicians
3213.0101,NCO,Pharmacy Assistant,Pharmaceutical Technicians and Assistants,Healthcare,assistants|pharmaceutical|technicians
3221.0100,NCO,Nurse - Institution,Nursing Associate Professionals,Healthcare,associate|institution|nurse|nursing|professionals
3222.0300,NCO,Lady Health Visitor/ASHA Worker/Anganwadi Worker,Anganwadi and Aasha Workers etc.,Healthcare,aasha|anganwadi|anganwadi worker|asha worker|lady health visitor
3252.0101,NCO,Medical Records and Health Information Technician,Medical Record Assistant,Healthcare,assistant|medical|record
3253.9900,NCO,Support; Advanced Care Support; Basic Care Support ) Healthcare,Front line Workers (For COVID and other Medical Equipment Support; Home Care Support; Emergency Care,Unclassified,covid|emergency|equipment|front|medical|support
3255.0101,NCO,Assistant Physiotherapist,Therapy Assistants (Yoga etc.),Healthcare,(yoga|assistants|etc.)|therapy
3256.9900,NCO,Medical Assistants; Other,Therapy Assistants (Yoga etc.),Healthcare,(yoga|assistants|etc.)|therapy
5311.0100,NCO,Ayah - Institutional,Child Care Workers; Ayah;Governess,Healthcare,ayah|child|governess|institutional
5311.0200,NCO,Child Care Worker,Child Care Workers; Ayah;Governess,Healthcare,child|governess
5311.0400,NCO,Ayah - Domestic,Child Care Workers,Healthcare,ayah|child|domestic
5322.0101,NCO,Nurse - Domestic/ Home,Home-Based Personal Care Workers (home health aids; Nurses; etc.),Healthcare,(home|domestic|etc.)|health|home|home-based|nurse|nurses
5329.0101,NCO,Ward Boy,Personal Care Workers in Health Services Not Elsewhere Classified,Healthcare,health|personal|services
6116.0112,NCO,Community Service Provider,Miscellaneous (sample collectors; distributers),Healthcare,(sample|collectors|distributers)|miscellaneous
7535.1400,NCO,Dyer - Leather,Pelt Dressers; Tanners and Fellmongers Leather Industry Works,Unclassified,dressers|dyer|fellmongers|industry|leather|tanners|works
7536.0100,NCO,Shoemaker,Shoemakers and Related Workers Leather Industry Works,Unclassified,industry|leather|shoemakers|works
7536.0300,NCO,Shoe Repairer - Cobbler,Shoemakers and Related Workers Leather Industry Works,Unclassified,cobbler|industry|leather|shoe repairer|shoemakers|works
7536.2700,NCO,Horn Comb Maker (Hand),Shoemakers and Related Workers Leather Industry Works,Unclassified,industry|leather|shoemakers|works
8156.2601,NCO,Works Helper/ Worker,Shoe Making and Related Machine Operators Leather Industry,Unclassified,industry|leather|machine|making|worker|works helper
